iter	Passed	Remaining
0	28	4296
1	59	4374
2	86	4231
3	114	4166
4	142	4126
5	172	4143
6	197	4040
7	221	3932
8	247	3873
9	272	3818
10	299	3783
11	326	3757
12	353	3727
13	384	3731
14	411	3706
15	439	3680
16	464	3634
17	489	3589
18	513	3542
19	538	3502
20	563	3462
21	595	3464
22	622	3434
23	648	3402
24	673	3369
25	704	3361
26	735	3352
27	763	3326
28	791	3300
29	818	3273
30	848	3255
31	874	3225
32	902	3200
33	928	3169
34	955	3139
35	982	3112
36	1011	3090
37	1041	3069
38	1069	3043
39	1096	3014
40	1124	2989
41	1150	2959
42	1177	2930
43	1202	2896
44	1226	2861
45	1257	2843
46	1286	2819
47	1316	2796
48	1342	2767
49	1370	2741
50	1400	2718
51	1428	2692
52	1453	2660
53	1481	2632
54	1509	2606
55	1535	2577
56	1562	2548
57	1589	2522
58	1618	2495
59	1644	2466
60	1671	2438
61	1697	2409
62	1726	2384
63	1754	2357
64	1780	2328
65	1808	2301
66	1836	2275
67	1866	2250
68	1892	2221
69	1920	2194
70	1946	2165
71	1974	2138
72	2000	2110
73	2027	2081
74	2055	2055
75	2081	2026
76	2108	1999
77	2137	1972
78	2163	1944
79	2186	1913
80	2210	1883
81	2234	1853
82	2261	1825
83	2288	1798
84	2316	1771
85	2343	1744
86	2372	1717
87	2399	1690
88	2429	1665
89	2456	1637
90	2482	1609
91	2507	1580
92	2534	1553
93	2561	1526
94	2586	1497
95	2615	1471
96	2642	1443
97	2668	1416
98	2698	1389
99	2724	1362
100	2752	1335
101	2778	1307
102	2804	1279
103	2832	1252
104	2857	1224
105	2885	1197
106	2913	1170
107	2939	1143
108	2971	1117
109	2999	1090
110	3025	1063
111	3051	1035
112	3082	1009
113	3112	982
114	3137	954
115	3163	927
116	3190	899
117	3219	872
118	3243	844
119	3271	817
120	3297	790
121	3322	762
122	3349	735
123	3375	707
124	3402	680
125	3429	653
126	3456	625
127	3483	598
128	3509	571
129	3538	544
130	3565	517
131	3592	489
132	3618	462
133	3646	435
134	3676	408
135	3703	381
136	3729	353
137	3755	326
138	3781	299
139	3807	271
140	3834	244
141	3860	217
142	3886	190
143	3915	163
144	3942	135
145	3970	108
146	3999	81
147	4026	54
148	4050	27
149	4077	0
